Ave	Max	MaxTime	Psd	Ring	Rms	Width	Rp	Rm	A
53.15140 	0.82456 	450	677489.75931 	2935	77.53613 	4575	257.00 	370.00 	39.40 
53.14692 	0.80368 	450	682025.98927 	3017	77.33758 	4325	257.00 	370.00 	39.40 
52.85117 	0.81346 	250	678283.16313 	2931	76.93471 	4050	257.00 	370.00 	39.40 
52.99239 	0.81449 	400	677379.06588 	2936	77.37341 	4400	257.00 	370.00 	39.40 
53.16001 	0.80661 	550	679178.59057 	2981	77.44263 	4350	257.00 	370.00 	39.40 
53.05924 	0.79243 	400	669560.20096 	3066	76.71325 	4225	257.00 	370.00 	39.40 
53.27140 	0.77077 	350	678421.76478 	3169	77.46615 	4750	257.00 	370.00 	39.40 
53.05730 	0.78982 	150	678243.54958 	3044	77.08459 	4650	257.00 	370.00 	39.40 
52.75178 	0.77203 	175	669019.00548 	3044	76.41724 	4825	257.00 	370.00 	39.40 
52.86904 	0.81236 	450	679552.05377 	3034	77.07012 	4325	257.00 	370.00 	39.40 
53.40151 	0.82794 	175	685289.02902 	2913	78.10601 	4500	257.00 	370.00 	39.40 
54.21929 	0.82618 	375	689584.04657 	2939	78.77433 	4350	257.00 	370.00 	39.40 
52.77395 	0.76951 	250	675765.37555 	3146	76.61272 	4900	257.00 	370.00 	39.40 
53.54204 	0.81871 	375	671078.10708 	3002	77.46741 	4350	257.00 	370.00 	39.40 
53.10459 	0.80751 	375	671117.10193 	2975	77.01600 	4250	257.00 	370.00 	39.40 
53.43098 	0.80067 	350	681798.40046 	3006	77.79638 	4525	257.00 	370.00 	39.40 
53.75573 	0.79081 	275	679624.74807 	3120	77.70804 	4625	257.00 	370.00 	39.40 
54.57821 	0.83679 	325	695922.55544 	3003	79.52761 	4250	257.00 	370.00 	39.40 
54.97675 	0.82833 	325	703224.86974 	3043	79.99440 	4950	257.00 	370.00 	39.40 
54.86755 	0.81754 	225	692632.30672 	3047	79.70725 	4525	257.00 	370.00 	39.40 
54.01074 	0.81569 	250	684782.81321 	2999	78.49574 	4725	257.00 	370.00 	39.40 
53.73935 	0.80577 	575	679575.35348 	3062	77.99426 	4400	257.00 	370.00 	39.40 
53.72367 	0.81306 	325	680526.09309 	3047	77.97898 	4475	257.00 	370.00 	39.40 
53.33899 	0.79739 	200	674376.93231 	2991	77.41679 	4650	257.00 	370.00 	39.40 
54.24265 	0.83580 	475	686363.81194 	3024	78.58927 	4050	257.00 	370.00 	39.40 
53.53809 	0.80724 	425	687174.63484 	3021	78.07787 	4600	257.00 	370.00 	39.40 
53.34438 	0.84695 	400	683788.50007 	2883	77.92054 	4175	257.00 	370.00 	39.40 
53.42345 	0.81108 	450	673101.97945 	2940	77.17521 	4350	257.00 	370.00 	39.40 
52.82570 	0.79462 	150	671965.34146 	2961	77.03596 	4400	257.00 	370.00 	39.40 
50.71754 	0.93408 	900	711279.09233 	2354	80.30570 	2900	277.00 	376.00 	38.10 
50.65809 	0.93897 	850	704724.00855 	2482	79.91533 	3350	277.00 	376.00 	38.10 
51.05998 	0.93806 	775	721189.06828 	2442	81.22178 	3225	277.00 	376.00 	38.10 
51.52117 	0.96925 	925	726358.82858 	2293	81.96072 	3050	277.00 	376.00 	38.10 
50.30785 	0.95419 	825	714922.13006 	2339	80.10487 	3325	277.00 	376.00 	38.10 
50.66790 	0.96021 	925	710745.12207 	2291	80.78384 	3000	277.00 	376.00 	38.10 
52.18801 	0.95987 	875	722818.33455 	2406	82.56382 	2925	277.00 	376.00 	38.10 
52.90369 	1.03314 	775	752045.19360 	2269	84.80547 	2875	277.00 	376.00 	38.10 
52.32654 	1.00814 	725	743118.15623 	2302	83.55977 	2825	277.00 	376.00 	38.10 
52.55823 	1.00550 	800	748819.45648 	2308	84.06225 	2900	277.00 	376.00 	38.10 
52.78040 	0.99174 	750	741542.73819 	2406	84.03596 	3050	277.00 	376.00 	38.10 
53.09577 	1.00138 	750	747872.46955 	2348	85.00525 	3000	277.00 	376.00 	38.10 
47.32233 	0.85498 	950	654659.82280 	2438	74.28877 	3275	277.00 	376.00 	38.10 
47.32676 	0.83870 	800	657147.46266 	2519	74.25435 	3175	277.00 	376.00 	38.10 
48.09185 	0.86162 	900	666850.74441 	2502	75.19500 	3550	277.00 	376.00 	38.10 
47.72656 	0.85284 	875	660531.72925 	2451	75.01024 	3100	277.00 	376.00 	38.10 
47.56315 	0.86090 	825	664119.43247 	2465	74.54512 	3125	277.00 	376.00 	38.10 
46.97251 	0.86019 	950	650254.22958 	2508	73.24387 	3350	277.00 	376.00 	38.10 
47.16267 	0.89152 	875	668418.92238 	2386	74.77710 	3200	277.00 	376.00 	38.10 
51.24452 	0.93866 	775	726367.75390 	2402	81.64104 	3250	277.00 	376.00 	38.10 
49.97776 	0.92372 	875	697023.58192 	2497	78.59242 	3300	277.00 	376.00 	38.10 
50.52341 	0.93055 	800	712859.50546 	2420	79.99218 	3200	277.00 	376.00 	38.10 
50.43571 	0.93266 	900	706174.06986 	2362	79.68242 	3000	277.00 	376.00 	38.10 
50.97355 	0.97591 	900	715789.50748 	2354	80.57924 	3200	277.00 	376.00 	38.10 
49.49806 	0.95384 	750	703702.21267 	2306	78.83815 	3050	277.00 	376.00 	38.10 
50.14066 	0.91860 	950	700872.20142 	2462	79.19855 	3225	277.00 	376.00 	38.10 
51.57179 	0.91477 	800	721845.21831 	2478	81.53288 	3575	277.00 	376.00 	38.10 
50.71355 	0.96237 	925	720056.41134 	2340	80.71305 	2950	277.00 	376.00 	38.10 
51.34897 	0.95149 	900	728045.20274 	2435	81.44390 	3200	277.00 	376.00 	38.10 
51.37241 	0.97253 	975	728556.18520 	2365	81.81398 	3125	277.00 	376.00 	38.10 
50.66003 	0.94728 	775	721476.91812 	2352	80.54924 	3050	277.00 	376.00 	38.10 
51.42776 	0.92104 	900	712062.55930 	2480	81.09583 	3350	277.00 	376.00 	38.10 
51.01045 	0.92453 	825	717492.42865 	2499	81.07295 	3200	277.00 	376.00 	38.10 
51.15932 	0.95930 	775	725260.57882 	2334	81.63572 	3250	277.00 	376.00 	38.10 
50.90043 	0.91048 	850	720096.89623 	2472	80.62816 	3325	277.00 	376.00 	38.10 
50.95550 	0.98893 	900	720595.47839 	2341	81.00605 	2875	277.00 	376.00 	38.10 
51.33590 	0.94244 	850	724227.76406 	2417	81.62391 	3250	277.00 	376.00 	38.10 
51.59691 	0.92466 	875	723712.10221 	2464	81.76031 	3525	277.00 	376.00 	38.10 
51.54293 	0.98908 	825	734292.01355 	2300	82.66984 	3000	277.00 	376.00 	38.10 
50.61072 	0.89668 	800	704595.40450 	2464	79.73171 	3450	277.00 	376.00 	38.10 
50.90772 	0.93403 	825	714213.02398 	2402	80.67496 	3200	277.00 	376.00 	38.10 
52.25747 	0.96748 	925	727778.44876 	2378	82.67243 	3200	277.00 	376.00 	38.10 
52.42143 	0.99001 	975	743386.97330 	2322	83.61499 	3050	277.00 	376.00 	38.10 
51.03598 	0.94378 	775	721334.36751 	2388	81.21662 	3150	277.00 	376.00 	38.10 
50.83174 	0.93281 	925	716149.07463 	2417	80.64221 	3250	277.00 	376.00 	38.10 
51.52497 	0.96674 	825	719928.27350 	2394	81.61625 	3100	277.00 	376.00 	38.10 
51.19439 	0.92496 	825	714963.42734 	2436	80.95302 	3100	277.00 	376.00 	38.10 
50.69743 	0.91303 	925	704950.67958 	2487	79.61920 	3500	277.00 	376.00 	38.10 
51.46598 	0.78093 	1025	668864.65657 	3025	76.06067 	4425	318.00 	385.00 	35.70 
51.83369 	0.79149 	1025	672466.62045 	3050	76.63181 	4150	318.00 	385.00 	35.70 
51.09536 	0.81368 	1050	672811.59693 	2931	75.95458 	4300	318.00 	385.00 	35.70 
51.55655 	0.76074 	1050	666912.96425 	3170	75.86650 	4525	318.00 	385.00 	35.70 
51.54759 	0.76717 	975	670821.05060 	3133	76.13006 	4550	318.00 	385.00 	35.70 
51.31212 	0.78632 	800	667801.53448 	3021	75.73114 	4150	318.00 	385.00 	35.70 
50.94822 	0.76435 	1050	664726.69352 	3097	75.33812 	4575	318.00 	385.00 	35.70 
54.07420 	0.82419 	700	702772.45857 	3019	79.42733 	4550	318.00 	385.00 	35.70 
53.95138 	0.83478 	850	697261.28782 	3002	79.78876 	4175	318.00 	385.00 	35.70 
53.75375 	0.77109 	800	686360.36718 	3127	78.41273 	4800	318.00 	385.00 	35.70 
53.66025 	0.82498 	850	691838.60859 	3062	78.92699 	4150	318.00 	385.00 	35.70 
53.06341 	0.82006 	1025	695882.48453 	2958	78.43664 	4100	318.00 	385.00 	35.70 
52.63365 	0.78700 	1050	681730.92272 	3171	77.30447 	4500	318.00 	385.00 	35.70 
53.16017 	0.80733 	975	694429.83242 	3016	78.46987 	4275	318.00 	385.00 	35.70 
53.06395 	0.83061 	975	686119.49292 	3023	78.11059 	4375	318.00 	385.00 	35.70 
49.06384 	0.76157 	950	636377.63645 	2996	72.21152 	3850	318.00 	385.00 	35.70 
49.30800 	0.76774 	1150	650875.71274 	2969	73.48297 	4375	318.00 	385.00 	35.70 
48.47998 	0.72195 	1025	633699.56730 	3171	71.59189 	4325	318.00 	385.00 	35.70 
48.30620 	0.71711 	1100	627816.26839 	3064	71.28649 	4725	318.00 	385.00 	35.70 
48.18400 	0.71529 	1200	621082.79974 	3037	71.05355 	4575	318.00 	385.00 	35.70 
47.99182 	0.71113 	1025	628175.87297 	3149	71.02994 	4425	318.00 	385.00 	35.70 
48.52854 	0.71738 	1000	631044.48575 	3111	71.52538 	4575	318.00 	385.00 	35.70 
47.92212 	0.71798 	1125	622663.30427 	3081	70.77716 	4600	318.00 	385.00 	35.70 
50.10105 	0.78571 	925	659910.22142 	2906	74.49867 	3950	318.00 	385.00 	35.70 
49.79500 	0.75057 	1100	650111.41190 	3041	73.46430 	4575	318.00 	385.00 	35.70 
49.84891 	0.76537 	1025	646614.99727 	3026	73.62145 	4000	318.00 	385.00 	35.70 
50.69513 	0.74552 	1050	651693.79406 	3106	74.24563 	4650	318.00 	385.00 	35.70 
49.79528 	0.79225 	1100	652786.24687 	2928	73.83563 	4400	318.00 	385.00 	35.70 
50.02542 	0.78408 	1000	651565.04207 	2986	73.92996 	3950	318.00 	385.00 	35.70 
49.70798 	0.76739 	1150	649019.03834 	2958	73.54491 	4500	318.00 	385.00 	35.70 
50.23474 	0.80006 	925	663451.93381 	2888	74.74184 	3950	318.00 	385.00 	35.70 
50.42281 	0.74548 	925	655911.02517 	3115	74.25136 	4625	318.00 	385.00 	35.70 
50.10248 	0.77853 	1150	661525.44829 	2982	74.77446 	4325	318.00 	385.00 	35.70 
50.07641 	0.77001 	1000	652799.42618 	2985	74.12319 	4175	318.00 	385.00 	35.70 
50.05668 	0.75769 	1175	655718.87342 	3085	74.25233 	4550	318.00 	385.00 	35.70 
50.13555 	0.75683 	975	646097.63263 	3112	73.47145 	4225	318.00 	385.00 	35.70 
50.63681 	0.76389 	950	663418.53715 	2981	74.99195 	4550	318.00 	385.00 	35.70 
50.47849 	0.75061 	1375	653142.41505 	2946	74.38489 	4900	318.00 	385.00 	35.70 
50.68935 	0.73796 	1000	664718.34133 	3160	75.02764 	4575	318.00 	385.00 	35.70 
51.45639 	0.78912 	900	677596.67651 	2989	76.54845 	4500	318.00 	385.00 	35.70 
50.58126 	0.76036 	1000	661773.97985 	3078	74.93777 	4600	318.00 	385.00 	35.70 
50.43422 	0.74828 	975	655721.68585 	3181	74.56299 	4550	318.00 	385.00 	35.70 
51.05668 	0.80953 	1100	675074.10723 	2866	76.17086 	3875	318.00 	385.00 	35.70 
50.41313 	0.78215 	1175	659997.32290 	3039	74.63580 	4500	318.00 	385.00 	35.70 
51.08082 	0.82151 	1050	671474.22002 	2963	76.14867 	4025	318.00 	385.00 	35.70 
50.51960 	0.77015 	875	655152.36309 	3100	74.22839 	4200	318.00 	385.00 	35.70 
51.81819 	0.78841 	900	663180.89475 	3066	75.71593 	3875	318.00 	385.00 	35.70 
52.12008 	0.75665 	875	674625.28332 	3114	76.65289 	4725	318.00 	385.00 	35.70 
51.19662 	0.78066 	1075	661126.48189 	3041	75.14990 	4600	318.00 	385.00 	35.70 
50.05532 	0.77223 	950	656281.14308 	3021	74.05196 	4225	318.00 	385.00 	35.70 
49.48574 	0.75712 	1075	652968.84557 	3036	73.28761 	4700	318.00 	385.00 	35.70 
